date,team,player_acquired,player_relinquished,notes,category,source_page
2021-05-13,ATL,,Mikayla Cowling,The Atlanta Dream waived Mikayla Cowling.,waiver,bbref_transactions_2021.html
2021-05-13,ATL,,Shatori Walker-Kimbrough,The Atlanta Dream waived Shatori Walker-Kimbrough.,waiver,bbref_transactions_2021.html
2021-05-13,CHI,,Alexis Prince,The Chicago Sky waived Alexis Prince.,waiver,bbref_transactions_2021.html
2021-05-13,CHI,,Kobi Thornton,The Chicago Sky waived Kobi Thornton.,waiver,bbref_transactions_2021.html
2021-05-13,CHI,,Lexie Brown,The Chicago Sky waived Lexie Brown.,waiver,bbref_transactions_2021.html
2021-05-13,CHI,,Natasha Mack,The Chicago Sky waived Natasha Mack.,waiver,bbref_transactions_2021.html
2021-05-13,LAS,,Kristine Anigwe,The Los Angeles Sparks waived Kristine Anigwe.,waiver,bbref_transactions_2021.html
2021-05-13,MIN,,Mikayla Pivec,The Minnesota Lynx waived Mikayla Pivec.,waiver,bbref_transactions_2021.html
2021-05-13,MIN,,Selena Lott,The Minnesota Lynx waived Selena Lott.,waiver,bbref_transactions_2021.html
2021-05-13,NYL,,Asia Taylor,The New York Liberty waived Asia Taylor.,waiver,bbref_transactions_2021.html
2021-05-13,NYL,,Jasmine Bailey,The New York Liberty waived Jasmine Bailey.,waiver,bbref_transactions_2021.html
2021-05-13,SEA,,Haley Gorecki,The Seattle Storm waived Haley Gorecki.,waiver,bbref_transactions_2021.html
2021-05-13,SEA,,Kitija Laksa,The Seattle Storm waived Kitija Laksa.,waiver,bbref_transactions_2021.html
2021-05-13,SEA,,N'dea Jones,The Seattle Storm waived N'dea Jones.,waiver,bbref_transactions_2021.html
2021-05-13,WAS,,Sug Sutton,The Washington Mystics waived Sug Sutton.,waiver,bbref_transactions_2021.html
2021-05-14,IND,,Aaliyah Wilson,LEFT FOOT,missed_game_injury,espn_summary_401320565.json
2021-05-14,IND,,Lauren Cox,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320565.json
2021-05-14,LAS,,Amanda Zahui B,BACK,missed_game_injury,espn_summary_401320568.json
2021-05-14,MIN,,Rennia Davis,STRESS FRACTURE LEFT FOOT,missed_game_injury,espn_summary_401320567.json
2021-05-14,NYL,,Jocelyn Willoughby,LEFT ACHILLES SURGERY,missed_game_injury,espn_summary_401320565.json
2021-05-14,NYL,,Leaonna Odom,LEFT ACHILLES TENDON,missed_game_injury,espn_summary_401320565.json
2021-05-14,PHO,,Bria Hartley,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320567.json
2021-05-14,ATL,,Kalani Brown,COACH'S DECISION,missed_game_other,espn_summary_401320566.json
2021-05-14,DAL,,Awak Kuier,NOT WITH TEAM,missed_game_other,espn_summary_401320568.json
2021-05-14,DAL,,Satou Sabally,NOT WITH TEAM,missed_game_other,espn_summary_401320568.json
2021-05-14,LAS,,Maria Kliundikova,NOT WITH TEAM,missed_game_other,espn_summary_401320568.json
2021-05-14,MIN,,Linnae Harper,COACH'S DECISION,missed_game_other,espn_summary_401320567.json
2021-05-14,PHO,,Megan Walker,COACH'S DECISION,missed_game_other,espn_summary_401320567.json
2021-05-14,LAS,Gabby Williams,,The Los Angeles Sparks signed Gabby Williams to a contract extension.,signing,bbref_transactions_2021.html
2021-05-14,NYL,Joyner Holmes,,The New York Liberty signed Joyner Holmes.,signing,bbref_transactions_2021.html
2021-05-14,NYL,Reshanda Gray,,The New York Liberty signed Reshanda Gray.,signing,bbref_transactions_2021.html
2021-05-15,CHI,,Azura Stevens,RIGHT ANKLE INJURY,missed_game_injury,espn_summary_401320569.json
2021-05-15,LVA,,Destiny Slocum,COACH'S DECISION,missed_game_other,espn_summary_401320570.json
2021-05-15,LVA,,Emma Cannon,COACH'S DECISION,missed_game_other,espn_summary_401320570.json
2021-05-15,SEA,,Kennedy Burke,COACH'S DECISION,missed_game_other,espn_summary_401320570.json
2021-05-15,SEA,,Mikiah Herbert Harrigan,COACH'S DECISION,missed_game_other,espn_summary_401320570.json
2021-05-15,CHI,Brittany Boyd,,The Chicago Sky signed Brittany Boyd.,signing,bbref_transactions_2021.html
2021-05-15,NYL,,Joyner Holmes,The New York Liberty released Joyner Holmes.,waiver,bbref_transactions_2021.html
2021-05-16,IND,,Aaliyah Wilson,LEFT FOOT,missed_game_injury,espn_summary_401320571.json
2021-05-16,IND,,Lauren Cox,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320571.json
2021-05-16,NYL,,Jocelyn Willoughby,LEFT ACHILLES SURGERY,missed_game_injury,espn_summary_401320571.json
2021-05-16,NYL,,Leaonna Odom,ACHILLES,missed_game_injury,espn_summary_401320571.json
2021-05-16,PHO,,Bria Hartley,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320572.json
2021-05-16,CON,,Aleah Goodman,COACH'S DECISION,missed_game_other,espn_summary_401320572.json
2021-05-16,CON,,Alyssa Thomas,COACH'S DECISION,missed_game_other,espn_summary_401320572.json
2021-05-16,CON,,Stephanie Jones,COACH'S DECISION,missed_game_other,espn_summary_401320572.json
2021-05-16,NYL,,Layshia Clarendon,COACH'S DECISION,missed_game_other,espn_summary_401320571.json
2021-05-16,PHO,,Sophie Cunningham,COACH'S DECISION,missed_game_other,espn_summary_401320572.json
2021-05-17,CON,,Stefanie Dolson,The Connecticut Sun suspended the contract of Stefanie Dolson.,contract_suspension,bbref_transactions_2021.html
2021-05-17,CON,,Aleah Goodman,The Connecticut Sun released Aleah Goodman.,waiver,bbref_transactions_2021.html
2021-05-17,IND,,Chelsey Perry,The Indiana Fever waived Chelsey Perry.,waiver,bbref_transactions_2021.html
2021-05-18,DAL,,Allisha Gray,The Dallas Wings suspended the contract of Allisha Gray.,contract_suspension,bbref_transactions_2021.html
2021-05-18,MIN,,Rennia Davis,FRACTURED LEFT FOOT,missed_game_injury,espn_summary_401320573.json
2021-05-18,NYL,,Jocelyn Willoughby,LEFT ACHILLES SURGERY,missed_game_injury,espn_summary_401320573.json
2021-05-18,NYL,,Leaonna Odom,LEFT ACHILLES TENDON,missed_game_injury,espn_summary_401320573.json
2021-05-18,PHO,,Bria Hartley,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320574.json
2021-05-18,WAS,,Elena Delle Donne,BACK,missed_game_injury,espn_summary_401320574.json
2021-05-18,MIN,,Natalie Achonwa,COACH'S DECISION,missed_game_other,espn_summary_401320573.json
2021-05-18,NYL,,Layshia Clarendon,COACH'S DECISION,missed_game_other,espn_summary_401320573.json
2021-05-18,WAS,,Stella Johnson,COACH'S DECISION,missed_game_other,espn_summary_401320574.json
2021-05-18,CHI,Natasha Mack,,The Chicago Sky signed Natasha Mack.,signing,bbref_transactions_2021.html
2021-05-18,NYL,,Reshanda Gray,The New York Liberty released Reshanda Gray.,waiver,bbref_transactions_2021.html
2021-05-19,SEA,,Katie Lou Samuelson,The Seattle Storm suspended the contract of Katie Lou Samuelson.,contract_suspension,bbref_transactions_2021.html
2021-05-19,CON,,Alyssa Thomas,ACHILLES,missed_game_injury,espn_summary_401320577.json
2021-05-19,IND,,Aaliyah Wilson,LEFT FOOT,missed_game_injury,espn_summary_401320577.json
2021-05-19,IND,,Lauren Cox,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320577.json
2021-05-19,ATL,,Cheyenne Parker-Tyus,COACH'S DECISION,missed_game_other,espn_summary_401320576.json
2021-05-19,ATL,,Kalani Brown,COACH'S DECISION,missed_game_other,espn_summary_401320576.json
2021-05-19,ATL,,Shekinna Stricklen,COACH'S DECISION,missed_game_other,espn_summary_401320576.json
2021-05-19,CHI,,Allie Quigley,COACH'S DECISION,missed_game_other,espn_summary_401320576.json
2021-05-19,CHI,,Azura Stevens,COACH'S DECISION,missed_game_other,espn_summary_401320576.json
2021-05-19,CHI,,Candace Parker,COACH'S DECISION,missed_game_other,espn_summary_401320576.json
2021-05-20,MIN,,Rennia Davis,STRESS FRACTURE LEFT FOOT,missed_game_injury,espn_summary_401320578.json
2021-05-20,MIN,,Linnae Harper,COACH'S DECISION,missed_game_other,espn_summary_401320578.json
2021-05-20,SEA,,Kiana Williams,COACH'S DECISION,missed_game_other,espn_summary_401320578.json
2021-05-20,SEA,,Mikiah Herbert Harrigan,COACH'S DECISION,missed_game_other,espn_summary_401320578.json
2021-05-20,CHI,,Brittany Boyd,The Chicago Sky released Brittany Boyd.,waiver,bbref_transactions_2021.html
2021-05-20,NYL,,Layshia Clarendon,The New York Liberty waived Layshia Clarendon.,waiver,bbref_transactions_2021.html
2021-05-21,ATL,,Cheyenne Parker-Tyus,HEALTH & SAFETY PROTOCOLS,missed_game_injury,espn_summary_401320579.json
2021-05-21,IND,,Aaliyah Wilson,LEFT FOOT,missed_game_injury,espn_summary_401320579.json
2021-05-21,IND,,Lauren Cox,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320579.json
2021-05-21,NYL,,Jocelyn Willoughby,ACHILLES,missed_game_injury,espn_summary_401320580.json
2021-05-21,ATL,,Aari McDonald,COACH'S DECISION,missed_game_other,espn_summary_401320579.json
2021-05-21,CON,,Alyssa Thomas,COACH'S DECISION,missed_game_other,espn_summary_401320581.json
2021-05-21,CON,,Briann January,COACH'S DECISION,missed_game_other,espn_summary_401320581.json
2021-05-21,NYL,,Leaonna Odom,COACH'S DECISION,missed_game_other,espn_summary_401320580.json
2021-05-21,PHO,,Bria Hartley,COACH'S DECISION,missed_game_other,espn_summary_401320581.json
2021-05-21,WAS,,Jillian Alleyne,COACH'S DECISION,missed_game_other,espn_summary_401320580.json
2021-05-21,CON,Shatori Walker-Kimbrough,,The Connecticut Sun signed Shatori Walker-Kimbrough.,signing,bbref_transactions_2021.html
2021-05-21,MIN,,Linnae Harper,The Minnesota Lynx released Linnae Harper.,waiver,bbref_transactions_2021.html
2021-05-22,DAL,,Chelsea Dungee,COACH'S DECISION,missed_game_other,espn_summary_401320583.json
2021-05-22,SEA,,Kiana Williams,COACH'S DECISION,missed_game_other,espn_summary_401320583.json
2021-05-22,SEA,,Mikiah Herbert Harrigan,COACH'S DECISION,missed_game_other,espn_summary_401320583.json
2021-05-22,CHI,,Natasha Mack,The Chicago Sky released Natasha Mack.,waiver,bbref_transactions_2021.html
2021-05-22,WAS,,Jillian Alleyne,The Washington Mystics waived Jillian Alleyne.,waiver,bbref_transactions_2021.html
2021-05-23,CHI,,Allie Quigley,HAMSTRING,missed_game_injury,espn_summary_401320584.json
2021-05-23,CHI,,Candace Parker,ANKLE INJURY,missed_game_injury,espn_summary_401320584.json
2021-05-23,IND,,Aaliyah Wilson,LEFT FOOT,missed_game_injury,espn_summary_401320585.json
2021-05-23,IND,,Jantel Lavender,LEFT FOOT,missed_game_injury,espn_summary_401320585.json
2021-05-23,NYL,,Jocelyn Willoughby,LEFT ACHILLES TENDON,missed_game_injury,espn_summary_401320584.json
2021-05-23,WAS,,Elena Delle Donne,BACK INJURY,missed_game_injury,espn_summary_401320585.json
2021-05-23,CHI,,Natasha Mack,COACH'S DECISION,missed_game_other,espn_summary_401320584.json
2021-05-23,CON,,Shatori Walker-Kimbrough,COACH'S DECISION,missed_game_other,espn_summary_401320586.json
2021-05-23,CON,,Stephanie Jones,COACH'S DECISION,missed_game_other,espn_summary_401320586.json
2021-05-23,LVA,,Emma Cannon,COACH'S DECISION,missed_game_other,espn_summary_401320586.json
2021-05-23,NYL,,Kiah Stokes,COACH'S DECISION,missed_game_other,espn_summary_401320584.json
2021-05-23,NYL,,Leaonna Odom,COACH'S DECISION,missed_game_other,espn_summary_401320584.json
2021-05-23,WAS,,Kiara Leslie,COACH'S DECISION,missed_game_other,espn_summary_401320585.json
2021-05-23,WAS,,Stella Johnson,COACH'S DECISION,missed_game_other,espn_summary_401320585.json
2021-05-23,CHI,Natasha Mack,,The Chicago Sky signed Natasha Mack.,signing,bbref_transactions_2021.html
2021-05-24,NYL,,Jocelyn Willoughby,LEFT ACHILLES SURGERY,missed_game_injury,espn_summary_401320588.json
2021-05-24,DAL,,Moriah Jefferson,COACH'S DECISION,missed_game_other,espn_summary_401320588.json
2021-05-24,NYL,,Leaonna Odom,COACH'S DECISION,missed_game_other,espn_summary_401320588.json
2021-05-25,ATL,,Cheyenne Parker-Tyus,HEALTH & SAFETY PROTOCOLS,missed_game_injury,espn_summary_401320589.json
2021-05-25,CHI,,Allie Quigley,HAMSTRING,missed_game_injury,espn_summary_401320589.json
2021-05-25,CHI,,Candace Parker,ANKLE INJURY,missed_game_injury,espn_summary_401320589.json
2021-05-25,CON,,Alyssa Thomas,ACHILLES,missed_game_injury,espn_summary_401320590.json
2021-05-25,CON,,Briann January,SPRAINED LEFT ANKLE,missed_game_injury,espn_summary_401320590.json
2021-05-25,IND,,Aaliyah Wilson,LEFT FOOT,missed_game_injury,espn_summary_401320587.json
2021-05-25,IND,,Bernadett Hatar,RIGHT ANKLE INJURY,missed_game_injury,espn_summary_401320587.json
2021-05-25,WAS,,Elena Delle Donne,BACK,missed_game_injury,espn_summary_401320587.json
2021-05-25,ATL,,Kalani Brown,COACH'S DECISION,missed_game_other,espn_summary_401320589.json
2021-05-25,ATL,,Shekinna Stricklen,COACH'S DECISION,missed_game_other,espn_summary_401320589.json
2021-05-25,CHI,,Natasha Mack,COACH'S DECISION,missed_game_other,espn_summary_401320589.json
2021-05-25,CON,,Stephanie Jones,COACH'S DECISION,missed_game_other,espn_summary_401320590.json
2021-05-25,SEA,,Kiana Williams,COACH'S DECISION,missed_game_other,espn_summary_401320590.json
2021-05-25,SEA,,Mikiah Herbert Harrigan,COACH'S DECISION,missed_game_other,espn_summary_401320590.json
2021-05-25,WAS,,Kiara Leslie,COACH'S DECISION,missed_game_other,espn_summary_401320587.json
2021-05-25,WAS,,Stella Johnson,COACH'S DECISION,missed_game_other,espn_summary_401320587.json
2021-05-26,LVA,,Emma Cannon,COACH'S DECISION,missed_game_other,espn_summary_401320591.json
2021-05-26,PHO,,Alanna Smith,COACH'S DECISION,missed_game_other,espn_summary_401320591.json
2021-05-26,ATL,,Kalani Brown,The Atlanta Dream waived Kalani Brown.,waiver,bbref_transactions_2021.html
2021-05-26,PHO,,Cierra Burdick,The Phoenix Mercury released Cierra Burdick.,waiver,bbref_transactions_2021.html
2021-05-27,ATL,,Cheyenne Parker-Tyus,COACH'S DECISION,missed_game_other,espn_summary_401320592.json
2021-05-27,DAL,,Chelsea Dungee,COACH'S DECISION,missed_game_other,espn_summary_401320592.json
2021-05-27,DAL,,Kristine Anigwe,COACH'S DECISION,missed_game_other,espn_summary_401320592.json
2021-05-27,PHO,Haley Gorecki,,The Phoenix Mercury signed Haley Gorecki.,signing,bbref_transactions_2021.html
2021-05-28,CHI,,Allie Quigley,HAMSTRING,missed_game_injury,espn_summary_401320594.json
2021-05-28,CHI,,Candace Parker,ANKLE INJURY,missed_game_injury,espn_summary_401320594.json
2021-05-28,CON,,Alyssa Thomas,ACHILLES,missed_game_injury,espn_summary_401320593.json
2021-05-28,IND,,Aaliyah Wilson,INJURY/ILLNESS,missed_game_injury,espn_summary_401320596.json
2021-05-28,IND,,Bernadett Hatar,INJURY/ILLNESS,missed_game_injury,espn_summary_401320596.json
2021-05-28,LAS,,Jasmine Walker,KNEE INJURY,missed_game_injury,espn_summary_401320594.json
2021-05-28,LVA,,Angel McCoughtry,INJURY/ILLNESS,missed_game_injury,espn_summary_401320596.json
2021-05-28,LVA,,Destiny Slocum,INJURY/ILLNESS,missed_game_injury,espn_summary_401320596.json
2021-05-28,MIN,,Aerial Powers,LEFT HAMSTRING,missed_game_injury,espn_summary_401320595.json
2021-05-28,MIN,,Rennia Davis,LEFT FOOT,missed_game_injury,espn_summary_401320595.json
2021-05-28,WAS,,Elena Delle Donne,BACK,missed_game_injury,espn_summary_401320593.json
2021-05-28,CON,,Kaila Charles,COACH'S DECISION,missed_game_other,espn_summary_401320593.json
2021-05-28,CON,,Stephanie Jones,COACH'S DECISION,missed_game_other,espn_summary_401320593.json
2021-05-28,LVA,,Kelsey Plum,NOT WITH TEAM,missed_game_other,espn_summary_401320596.json
2021-05-28,WAS,,Stella Johnson,COACH'S DECISION,missed_game_other,espn_summary_401320593.json
2021-05-28,CON,,Shatori Walker-Kimbrough,The Connecticut Sun released Shatori Walker-Kimbrough.,waiver,bbref_transactions_2021.html
2021-05-29,ATL,,Cheyenne Parker-Tyus,HEALTH & SAFETY PROTOCOLS,missed_game_injury,espn_summary_401320597.json
2021-05-29,NYL,,Jocelyn Willoughby,LEFT ACHILLES REHAB,missed_game_injury,espn_summary_401320597.json
2021-05-29,NYL,,Natasha Howard,LEFT KNEE,missed_game_injury,espn_summary_401320597.json
2021-05-29,PHO,,Bria Hartley,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320598.json
2021-05-29,PHO,,Diana Taurasi,STERNUM INJURY,missed_game_injury,espn_summary_401320598.json
2021-05-29,ATL,,Shekinna Stricklen,COACH'S DECISION,missed_game_other,espn_summary_401320597.json
2021-05-29,DAL,,Bella Alarie,COACH'S DECISION,missed_game_other,espn_summary_401320598.json
2021-05-29,NYL,,Leaonna Odom,COACH'S DECISION,missed_game_other,espn_summary_401320597.json
2021-05-29,LVA,Joyner Holmes,,The Las Vegas Aces signed Joyner Holmes.,signing,bbref_transactions_2021.html
2021-05-29,LVA,,Emma Cannon,The Las Vegas Aces waived Emma Cannon.,waiver,bbref_transactions_2021.html
2021-05-30,SEA,,,The Seattle Storm hired Noelle Quinn as Head Coach.,front_office,bbref_transactions_2021.html
2021-05-30,CHI,,Allie Quigley,HAMSTRING,missed_game_injury,espn_summary_401320599.json
2021-05-30,CHI,,Candace Parker,ANKLE INJURY,missed_game_injury,espn_summary_401320599.json
2021-05-30,CON,,Alyssa Thomas,ACHILLES,missed_game_injury,espn_summary_401320601.json
2021-05-30,IND,,Aaliyah Wilson,INJURY/ILLNESS,missed_game_injury,espn_summary_401320600.json
2021-05-30,IND,,Bernadett Hatar,INJURY/ILLNESS,missed_game_injury,espn_summary_401320600.json
2021-05-30,LAS,,Chiney Ogwumike,KNEE INJURY,missed_game_injury,espn_summary_401320599.json
2021-05-30,LAS,,Jasmine Walker,KNEE INJURY,missed_game_injury,espn_summary_401320599.json
2021-05-30,LVA,,Angel McCoughtry,INJURY/ILLNESS,missed_game_injury,espn_summary_401320600.json
2021-05-30,MIN,,Aerial Powers,LEFT HAMSTRING STRAIN,missed_game_injury,espn_summary_401320601.json
2021-05-30,MIN,,Rennia Davis,STRESS FRACTURE LEFT FOOT,missed_game_injury,espn_summary_401320601.json
2021-05-30,CON,,Kaila Charles,COACH'S DECISION,missed_game_other,espn_summary_401320601.json
2021-05-30,CON,,Stephanie Jones,COACH'S DECISION,missed_game_other,espn_summary_401320601.json
2021-05-30,LVA,,Kelsey Plum,NOT WITH TEAM,missed_game_other,espn_summary_401320600.json
2021-05-30,SEA,,Dan Hughes,Dan Hughes retired from the Seattle Storm.,retirement,bbref_transactions_2021.html
2021-05-30,MIN,Layshia Clarendon,,The Minnesota Lynx signed Layshia Clarendon.,signing,bbref_transactions_2021.html
2021-05-30,CHI,,Natasha Mack,The Chicago Sky released Natasha Mack.,waiver,bbref_transactions_2021.html
2021-06-01,CHI,,Allie Quigley,HAMSTRING,missed_game_injury,espn_summary_401320603.json
2021-06-01,CHI,,Candace Parker,ANKLE INJURY,missed_game_injury,espn_summary_401320603.json
2021-06-01,CON,,Alyssa Thomas,ACHILLES,missed_game_injury,espn_summary_401320602.json
2021-06-01,IND,,Aaliyah Wilson,LEFT HIP INJURY,missed_game_injury,espn_summary_401320605.json
2021-06-01,IND,,Bernadett Hatar,RIGHT ANKLE INJURY,missed_game_injury,espn_summary_401320605.json
2021-06-01,LAS,,Chiney Ogwumike,RIGHT KNEE SORENESS,missed_game_injury,espn_summary_401320604.json
2021-06-01,LAS,,Jasmine Walker,TORN ACHILLES TENDON,missed_game_injury,espn_summary_401320604.json
2021-06-01,LVA,,Angel McCoughtry,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320602.json
2021-06-01,LVA,,Kelsey Plum,HEALTH & SAFETY PROTOCOLS,missed_game_injury,espn_summary_401320602.json
2021-06-01,PHO,,Bria Hartley,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320603.json
2021-06-01,PHO,,Diana Taurasi,STERNUM INJURY,missed_game_injury,espn_summary_401320603.json
2021-06-01,CHI,,Shyla Heal,COACH'S DECISION,missed_game_other,espn_summary_401320603.json
2021-06-01,CHI,,Stephanie Watts,COACH'S DECISION,missed_game_other,espn_summary_401320603.json
2021-06-01,DAL,,Kristine Anigwe,COACH'S DECISION,missed_game_other,espn_summary_401320604.json
2021-06-01,LAS,,Arella Guirantes,COACH'S DECISION,missed_game_other,espn_summary_401320604.json
2021-06-01,LAS,,Maria Kliundikova,NOT WITH TEAM,missed_game_other,espn_summary_401320604.json
2021-06-01,LVA,,Joyner Holmes,COACH'S DECISION,missed_game_other,espn_summary_401320602.json
2021-06-01,PHO,,Haley Gorecki,COACH'S DECISION,missed_game_other,espn_summary_401320603.json
2021-06-01,CHI,Lexie Brown,,The Chicago Sky signed Lexie Brown.,signing,bbref_transactions_2021.html
2021-06-02,CHI,Dana Evans,,"The Chicago Sky traded Shyla Heal, a 2022 3rd round pick ( Jazz Bond later selected), and a 2022 1st round pick (Right to swap 2022 first round picks) to the Dallas Wings for Dana Evans.",trade,bbref_transactions_2021.html
2021-06-02,CHI,,Shyla Heal,"The Chicago Sky traded Shyla Heal, a 2022 3rd round pick ( Jazz Bond later selected), and a 2022 1st round pick (Right to swap 2022 first round picks) to the Dallas Wings for Dana Evans.",trade,bbref_transactions_2021.html
2021-06-02,DAL,Shyla Heal,,"The Chicago Sky traded Shyla Heal, a 2022 3rd round pick ( Jazz Bond later selected), and a 2022 1st round pick (Right to swap 2022 first round picks) to the Dallas Wings for Dana Evans.",trade,bbref_transactions_2021.html
2021-06-02,DAL,,Dana Evans,"The Chicago Sky traded Shyla Heal, a 2022 3rd round pick ( Jazz Bond later selected), and a 2022 1st round pick (Right to swap 2022 first round picks) to the Dallas Wings for Dana Evans.",trade,bbref_transactions_2021.html
2021-06-02,CHI,,Lexie Brown,The Chicago Sky released Lexie Brown.,waiver,bbref_transactions_2021.html
2021-06-02,CHI,,Stephanie Watts,The Chicago Sky waived Stephanie Watts.,waiver,bbref_transactions_2021.html
2021-06-02,DAL,,Kristine Anigwe,The Dallas Wings waived Kristine Anigwe.,waiver,bbref_transactions_2021.html
2021-06-02,DAL,,Shyla Heal,The Dallas Wings waived Shyla Heal.,waiver,bbref_transactions_2021.html
2021-06-03,LVA,,Angel McCoughtry,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320606.json
2021-06-03,NYL,,Jocelyn Willoughby,LEFT ACHILLES REHAB,missed_game_injury,espn_summary_401320606.json
2021-06-03,NYL,,Natasha Howard,LEFT KNEE INJURY,missed_game_injury,espn_summary_401320606.json
2021-06-03,PHO,,Bria Hartley,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320607.json
2021-06-03,PHO,,Diana Taurasi,STERNUM INJURY,missed_game_injury,espn_summary_401320607.json
2021-06-03,CHI,,Candace Parker,NOT WITH TEAM,missed_game_other,espn_summary_401320607.json
2021-06-03,LVA,,Ji-Su Park,COACH'S DECISION,missed_game_other,espn_summary_401320606.json
2021-06-03,PHO,,Alanna Smith,COACH'S DECISION,missed_game_other,espn_summary_401320607.json
2021-06-03,PHO,,Haley Gorecki,COACH'S DECISION,missed_game_other,espn_summary_401320607.json
2021-06-04,ATL,,Chennedy Carter,RIGHT ELBOW,missed_game_injury,espn_summary_401320609.json
2021-06-04,MIN,,Aerial Powers,LEFT HAMSTRING STRAIN,missed_game_injury,espn_summary_401320609.json
2021-06-04,MIN,,Rennia Davis,LEFT FOOT,missed_game_injury,espn_summary_401320609.json
2021-06-04,ATL,,Shekinna Stricklen,COACH'S DECISION,missed_game_other,espn_summary_401320609.json
2021-06-04,DAL,,Kayla Thornton,COACH'S DECISION,missed_game_other,espn_summary_401320610.json
2021-06-04,SEA,,Kennedy Burke,COACH'S DECISION,missed_game_other,espn_summary_401320610.json
2021-06-04,SEA,,Kiana Williams,COACH'S DECISION,missed_game_other,espn_summary_401320610.json
2021-06-04,LAS,Karlie Samuelson,,The Los Angeles Sparks signed Karlie Samuelson.,signing,bbref_transactions_2021.html
2021-06-04,LAS,Kristine Anigwe,,The Los Angeles Sparks signed Kristine Anigwe.,signing,bbref_transactions_2021.html
2021-06-05,CON,,Alyssa Thomas,ACHILLES,missed_game_injury,espn_summary_401320613.json
2021-06-05,NYL,,Jocelyn Willoughby,LEFT ACHILLES REHAB,missed_game_injury,espn_summary_401320613.json
2021-06-05,NYL,,Natasha Howard,LEFT KNEE,missed_game_injury,espn_summary_401320613.json
2021-06-05,WAS,,Sydney Wiese,SPRAINED RIGHT ANKLE,missed_game_injury,espn_summary_401320611.json
2021-06-05,LAS,,Karlie Samuelson,COACH'S DECISION,missed_game_other,espn_summary_401320612.json
2021-06-05,LVA,,Joyner Holmes,COACH'S DECISION,missed_game_other,espn_summary_401320611.json
2021-06-05,WAS,,Elena Delle Donne,COACH'S DECISION,missed_game_other,espn_summary_401320611.json
2021-06-05,WAS,,Stella Johnson,COACH'S DECISION,missed_game_other,espn_summary_401320611.json
2021-06-06,CON,,Jonquel Jones,The Connecticut Sun suspended the contract of Jonquel Jones.,contract_suspension,bbref_transactions_2021.html
2021-06-06,NYL,,Kiah Stokes,The New York Liberty suspended the contract of Kiah Stokes.,contract_suspension,bbref_transactions_2021.html
2021-06-06,ATL,,Chennedy Carter,RIGHT ELBOW,missed_game_injury,espn_summary_401320614.json
2021-06-06,MIN,,Aerial Powers,STRAINED LEFT HAMSTRING,missed_game_injury,espn_summary_401320614.json
2021-06-06,MIN,,Damiris Dantas,LOWER BACK INJURY,missed_game_injury,espn_summary_401320614.json
2021-06-06,MIN,,Rennia Davis,STRESS FRACTURE LEFT FOOT,missed_game_injury,espn_summary_401320614.json
2021-06-06,DAL,,Awak Kuier,COACH'S DECISION,missed_game_other,espn_summary_401320615.json
2021-06-06,SEA,,Kiana Williams,COACH'S DECISION,missed_game_other,espn_summary_401320615.json
2021-06-07,CHI,Sierra Campisano,,The Chicago Sky signed Sierra Campisano.,signing,bbref_transactions_2021.html
2021-06-07,CON,Emma Cannon,,The Connecticut Sun signed Emma Cannon.,signing,bbref_transactions_2021.html
2021-06-07,NYL,Reshanda Gray,,The New York Liberty signed Reshanda Gray.,signing,bbref_transactions_2021.html
2021-06-08,CHI,,Astou Ndour,The Chicago Sky suspended the contract of Astou Ndour.,contract_suspension,bbref_transactions_2021.html
2021-06-08,PHO,,Bria Hartley,RIGHT KNEE INJURY,missed_game_injury,espn_summary_401320619.json
2021-06-08,PHO,,Diana Taurasi,STERNUM INJURY,missed_game_injury,espn_summary_401320619.json
2021-06-08,DAL,,Awak Kuier,COACH'S DECISION,missed_game_other,espn_summary_401320619.json
2021-06-08,DAL,,Chelsea Dungee,COACH'S DECISION,missed_game_other,espn_summary_401320619.json
2021-06-08,MIN,,Jessica Shepard,COACH'S DECISION,missed_game_other,espn_summary_401320616.json
2021-06-08,PHO,,Alanna Smith,COACH'S DECISION,missed_game_other,espn_summary_401320619.json
2021-06-08,PHO,,Haley Gorecki,COACH'S DECISION,missed_game_other,espn_summary_401320619.json
2021-06-08,WAS,,Stella Johnson,COACH'S DECISION,missed_game_other,espn_summary_401320616.json
2021-06-08,CHI,,Sierra Campisano,The Chicago Sky waived Sierra Campisano.,waiver,bbref_transactions_2021.html
2021-06-09,IND,,Bernadett Hatar,RIGHT ANKLE INJURY,missed_game_injury,espn_summary_401320618.json
2021-06-09,IND,,Aaliyah Wilson,NOT WITH TEAM,missed_game_other,espn_summary_401320618.json
